id,email,first_name,last_name,source,campaign_id,created_at,converted,converted_at
1,gertrudekostolzin@example.net,Zaira,Texier,referral,CAMP_8479,2025-11-24 20:04:29,False,
2,benjamin07@example.net,Véronique,Lamy,email_campaign,CAMP_2357,2025-06-17 02:41:52,False,
3,grein-grothpawel@example.com,Rebecca,Pelletier,organic,CAMP_6891,2025-10-17 01:18:04,False,
4,besnardsylvie@example.com,Mayte,Caspar,organic,CAMP_7116,2025-06-24 03:01:39,False,
5,auravazquez@example.org,Juergen,Uría,organic,CAMP_1928,2025-10-07 11:52:39,True,2025-11-02 03:14:37
6,george71@example.org,Dorita,Payet,paid_ads,CAMP_8474,2024-12-23 19:45:55,True,2025-07-18 20:27:52
7,alphonse59@example.com,Theobald,Albert,organic,CAMP_6674,2025-10-25 03:07:35,True,2025-10-27 00:56:20
8,tina60@example.com,Tomasz,Jordá,referral,CAMP_8661,2024-12-31 07:40:24,True,2025-02-24 15:57:29
9,heinharri@example.com,Nath,Moore,email_campaign,CAMP_6582,2025-03-10 00:39:51,False,
10,dakota03@example.org,Rebecca,Warmer,organic,CAMP_7403,2025-04-10 18:40:46,True,2025-07-02 10:16:47
11,gibsondavid@example.org,Robert,Andrade,organic,CAMP_6968,2025-03-14 08:36:56,True,2025-09-22 16:04:05
12,sorgatzegbert@example.net,Montserrat,Boyer,email_campaign,CAMP_5330,2025-11-21 15:38:42,True,2025-11-26 13:30:20
13,shawn63@example.com,Françoise,Torres,referral,CAMP_9076,2025-02-13 17:51:26,False,
14,hernandezoceane@example.net,Christiane,Seifert,organic,CAMP_2381,2025-09-16 13:10:17,False,
15,valentineprevost@example.net,Audrey,Schäfer,referral,CAMP_4129,2025-06-11 16:06:40,True,2025-10-24 14:05:31
16,hans-bernd48@example.org,Cornelio,Dean,paid_ads,CAMP_3112,2025-01-14 02:20:43,True,2025-07-28 05:40:59
17,marciaalmagro@example.org,Angelino,Jacob,referral,CAMP_8199,2025-04-11 23:15:06,False,
18,frosemann@example.com,Rebecca,Rivas,organic,CAMP_2349,2025-04-19 14:16:30,True,2025-05-18 00:31:12
19,alwine53@example.net,Gabrielle,Bruder,referral,CAMP_8829,2025-02-23 05:24:47,False,
20,laurentroussel@example.org,Laurence,Figuerola,referral,CAMP_5473,2025-10-26 17:31:49,True,2025-11-16 19:09:14
21,abascalreyes@example.com,Victoriano,Moreno,organic,CAMP_9223,2025-03-30 05:13:17,False,
22,smurphy@example.com,Estefanía,Ibañez,paid_ads,CAMP_8093,2025-09-19 09:43:14,True,2025-10-20 12:02:52
23,klemtandrey@example.org,Vanessa,Atkinson,paid_ads,CAMP_8784,2025-08-07 08:53:33,False,
24,marisolacuna@example.com,Natalia,Neira,organic,CAMP_1690,2025-09-07 15:02:34,True,2025-09-21 02:43:37
25,qduval@example.com,Heinz-Josef,Bonneau,email_campaign,CAMP_6281,2025-10-22 05:47:07,False,
26,rosscharlene@example.com,Lauren,Knight,paid_ads,CAMP_2041,2024-12-26 21:50:12,False,
27,bbesnard@example.com,Seth,Heredia,email_campaign,CAMP_3875,2025-03-03 17:13:50,True,2025-09-25 18:29:42
28,ligiaduarte@example.org,Brittney,Metz,organic,CAMP_6414,2025-07-28 00:18:12,False,
29,bllamas@example.org,Zacarías,Spieß,organic,CAMP_3172,2025-03-21 09:53:24,False,
30,qmcmillan@example.org,Odalys,Robin,paid_ads,CAMP_8895,2025-01-16 15:00:59,False,
31,amada64@example.com,Felicia,Perez,organic,CAMP_4774,2025-11-01 03:07:32,False,
32,alexandrieleleu@example.net,Maggie,Guibert,email_campaign,CAMP_6880,2025-09-09 15:03:54,True,2025-10-01 21:42:27
33,gregory80@example.org,Fredy,Ullrich,email_campaign,CAMP_6655,2025-10-02 07:35:54,False,
34,caecilia09@example.com,Édith,Chapman,referral,CAMP_1425,2025-05-04 08:38:28,True,2025-11-18 04:53:16
35,vanessaburnett@example.com,Carrie,Montaña,paid_ads,CAMP_6977,2025-05-16 14:25:55,True,2025-06-12 03:13:22
